Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:22,04:54,13:11,17:28,21:19,22:41
2,03:21,04:53,13:11,17:29,21:20,22:41
3,03:21,04:52,13:12,17:29,21:21,22:42
4,03:21,04:52,13:12,17:30,21:22,22:43
5,03:20,04:51,13:12,17:30,21:23,22:43
6,03:20,04:50,13:12,17:31,21:24,22:44
7,03:20,04:50,13:12,17:31,21:25,22:45
8,03:20,04:49,13:12,17:31,21:25,22:45
9,03:19,04:49,13:13,17:32,21:26,22:46
10,03:19,04:49,13:13,17:32,21:27,22:47
11,03:19,04:48,13:13,17:33,21:28,22:47
12,03:19,04:48,13:13,17:33,21:28,22:48
13,03:19,04:48,13:13,17:33,21:29,22:48
14,03:19,04:48,13:14,17:34,21:30,22:49
15,03:19,04:47,13:14,17:34,21:30,22:49
16,03:19,04:47,13:14,17:34,21:31,22:49
17,03:19,04:47,13:14,17:35,21:31,22:50
18,03:19,04:47,13:15,17:35,21:32,22:50
19,03:19,04:47,13:15,17:35,21:32,22:50
20,03:19,04:48,13:15,17:35,21:32,22:51
21,03:20,04:48,13:15,17:36,21:33,22:51
22,03:20,04:48,13:15,17:36,21:33,22:51
23,03:20,04:48,13:16,17:36,21:33,22:51
24,03:20,04:48,13:16,17:36,21:33,22:51
25,03:21,04:49,13:16,17:36,21:33,22:52
26,03:21,04:49,13:16,17:37,21:33,22:52
27,03:21,04:50,13:16,17:37,21:33,22:52
28,03:22,04:50,13:17,17:37,21:33,22:52
29,03:22,04:51,13:17,17:37,21:33,22:52
30,03:23,04:51,13:17,17:37,21:33,22:52
